"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2017","Provincie","kamerwoning","Nieuwbouw","Q4","1","1","1","0","5","0,00","208","1.194,97","1.200,00","0,00","0,00"
"2017","Vlaamse Overheid","kamerwoning","Verbouwen of hergebruik","Q3","1","1","1","0","3","0,00","119","118,52","136,56","0,00","0,00"
"2017","-","kamerwoning","Verbouwen of hergebruik","Q3","1","1","1","0","3","0,00","107","146,00","40,00","0,00","0,00"
"2017","Gemeente","kamerwoning","Verbouwen of hergebruik","Q1","1","1","1","0","1","0,00","32","450,00","490,00","0,00","0,00"
"2017","Vlaamse Overheid","eengezinswoning","Nieuwbouw","Q2","1","1","1","0","0","0,00","0","697,52","654,11","0,00","0,00"
"2017","Provincie","kamerwoning","Verbouwen of hergebruik","Q4","1","1","1","0","0","0,00","0","425,16","304,49","0,00","0,00"
"2017","Gemeente","-","-","Q1","3","35","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2017","Gemeente","-","Sloop","Q1","3","6","6","0","0","0,00","0","0,00","0,00","1.105,52","4.236,75"
"2017","-","-","Sloop","Q1","2","2","2","0","0","0,00","0","0,00","0,00","1.633,00","5.659,40"
"2017","Provincie","-","Sloop","Q1","1","2","2","0","0","0,00","0","0,00","0,00","2.062,00","7.526,30"
"2017","-","-","-","Q1","0","27","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2017","Provincie","-","-","Q1","0","1","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2017","Gemeente","-","Sloop","Q2","19","27","27","0","0","0,00","0","0,00","0,00","6.494,77","32.287,40"
"2017","Gemeente","-","-","Q2","18","521","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2017","Provincie","-","Sloop","Q2","17","28","28","0","0","0,00","0","0,00","0,00","100.801,40","435.029,04"
"2017","-","-","Sloop","Q2","11","20","20","0","0","0,00","0","0,00","0,00","15.855,87","54.723,96"
"2017","-","-","-","Q2","10","149","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
