Jaar indiening,Project Besluit VVO Type,Gebouw Functie kort,Handeling,[Project Indiening DatumautoCalendarQuarter],Aantal projecten,Aantal gebouwen,Aantal gebouwen (met gebouwinfo),Aantal wooneenheden,Aantal (studenten)kamers,Nuttige woonoppervlakte (m²),Nuttige oppervlakte kamerwoningen (m²),Bovengronds nuttige oppervlakte (m²),Bovengronds grond oppervlakte (m²),Gesloopte oppervlakte (m²),Gesloopte volume (m³),Date
2018,-,kamerwoning,Verbouwen of hergebruik,Q2,4,4,4,0,34,0.0,46769,706.62,465.5,0.0,0.0,2018-04-01
2018,Gemeente,kamerwoning,Verbouwen of hergebruik,Q2,25,25,25,0,312,0.0,32911,13162.43,4910.29,0.0,0.0,2018-04-01
2018,Gemeente,kamerwoning,Verbouwen of hergebruik,Q4,40,41,41,0,846,0.0,19322,24201.57,9159.51,0.0,0.0,2018-10-01
2018,Gemeente,kamerwoning,Verbouwen of hergebruik,Q1,19,19,19,0,372,0.0,12663,17396.59,6532.81,0.0,0.0,2018-01-01
2018,Gemeente,kamerwoning,Verbouwen of hergebruik,Q3,22,23,23,0,942,0.0,12538,12376.88,5014.15,0.0,0.0,2018-07-01
2018,Gemeente,eengezins- en kamerwoning,Nieuwbouw,Q2,2,2,2,0,348,0.0,7344,11189.39,1172.46,0.0,0.0,2018-04-01
2018,Provincie,kamerwoning,Nieuwbouw,Q2,1,1,1,0,157,0.0,5274,5645.0,266.0,0.0,0.0,2018-04-01
2018,-,meergezins- en kamerwoning,Nieuwbouw,Q1,1,1,1,0,157,0.0,5274,5645.0,266.0,0.0,0.0,2018-01-01
2018,-,kamerwoning,Verbouwen of hergebruik,Q3,8,8,8,0,170,0.0,3224,9496.93,4169.98,0.0,0.0,2018-07-01
2018,Gemeente,eengezins- en kamerwoning,Nieuwbouw,Q3,1,1,1,0,111,0.0,2978,3295.71,1700.92,0.0,0.0,2018-07-01
2018,Provincie,kamerwoning,Verbouwen of hergebruik,Q1,3,3,3,0,24,0.0,1761,857.42,435.08,0.0,0.0,2018-01-01
2018,Gemeente,kamerwoning,Nieuwbouw,Q2,4,4,4,0,179,0.0,1519,2911.65,1211.5,0.0,0.0,2018-04-01
2018,RVVB,kamerwoning,Nieuwbouw,Q2,1,1,1,0,79,0.0,1497,3188.24,945.68,0.0,0.0,2018-04-01
2018,-,kamerwoning,Nieuwbouw,Q4,4,4,4,0,46,0.0,1486,1730.23,761.97,0.0,0.0,2018-10-01
2018,Gemeente,kamerwoning,Nieuwbouw,Q4,5,7,7,0,30,0.0,1361,1626.11,626.37,0.0,0.0,2018-10-01
2018,Provincie,kamerwoning,Nieuwbouw,Q4,1,1,1,0,15,0.0,1351,1616.65,978.6,0.0,0.0,2018-10-01
2018,Gemeente,eengezins- en kamerwoning,Verbouwen of hergebruik,Q3,8,8,8,0,25,0.0,1226,1882.26,1150.76,0.0,0.0,2018-07-01
2018,RVVB,eengezins- en kamerwoning,Nieuwbouw,Q2,1,1,1,0,58,0.0,1208,2415.43,709.24,0.0,0.0,2018-04-01
2018,Gemeente,kamerwoning,Nieuwbouw,Q1,3,3,3,0,37,0.0,949,49127.64,13441.22,0.0,0.0,2018-01-01
2018,-,kamerwoning,Verbouwen of hergebruik,Q1,4,4,4,0,16,0.0,944,722.6,813.5,0.0,0.0,2018-01-01
2018,Provincie,kamerwoning,Verbouwen of hergebruik,Q2,2,3,3,0,18,0.0,702,723.52,458.72,0.0,0.0,2018-04-01
2018,-,kamerwoning,Verbouwen of hergebruik,Q4,3,3,3,0,23,0.0,641,649.04,352.0,0.0,0.0,2018-10-01
