Year-Quarter,eengezinswoning,meergezinswoning
2018-Q1,2616,2095
2018-Q2,3838,3311
2018-Q3,3291,3334
2018-Q4,4048,3919
2019-Q1,3815,3017
2019-Q2,4484,3947
2019-Q3,3879,3073
2019-Q4,5102,4728
2020-Q1,4553,3600
2020-Q2,4443,4072
2020-Q3,4361,4319
2020-Q4,6022,4362
2021-Q1,5486,4231
2021-Q2,5910,4511
2021-Q3,4594,3692
2021-Q4,5495,4802
2022-Q1,4456,3075
2022-Q2,5220,4197
2022-Q3,4438,4237
2022-Q4,5467,3978
2023-Q1,4807,4149
2023-Q2,5008,4214
2023-Q3,4916,5253
2023-Q4,5061,4808
2024-Q1,4812,4048
2024-Q2,5181,3956
2024-Q3,4370,4524
