Year-Quarter,eengezinswoning,meergezinswoning
2018-Q1,2719,4724
2018-Q2,4655,10137
2018-Q3,4587,10723
2018-Q4,6822,13334
2019-Q1,4721,9321
2019-Q2,5899,10934
2019-Q3,5758,11671
2019-Q4,8617,16783
2020-Q1,4085,7558
2020-Q2,5107,9859
2020-Q3,5386,10970
2020-Q4,8203,14576
2021-Q1,4958,6200
2021-Q2,6436,9892
2021-Q3,5447,9527
2021-Q4,8634,12808
2022-Q1,4330,6096
2022-Q2,5474,8702
2022-Q3,5200,9093
2022-Q4,6903,12615
2023-Q1,3733,6173
2023-Q2,5005,7407
2023-Q3,4881,10005
2023-Q4,4126,8152
2024-Q1,3366,6839
2024-Q2,3512,6484
2024-Q3,3732,7391
